id,display_title,original_title,overview,genres_list,director,cast_top3,release_year,vote_average,vote_count,weighted_rating
19995,Avatar,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",2009.0,7.2,11800,7.050669301008783
285,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['Adventure', 'Fantasy', 'Action']",Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",2007.0,6.9,4500,6.665696105464818
206647,Spectre,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['Action', 'Adventure', 'Crime']",Sam Mendes,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",2015.0,6.3,4466,6.23939600832406
49026,The Dark Knight Rises,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['Action', 'Crime', 'Drama', 'Thriller']",Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",2012.0,7.6,9106,7.346720532407277
49529,John Carter,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['Action', 'Adventure', 'Science Fiction']",Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",2012.0,6.1,2124,6.0963679070457815
559,Spider-Man 3,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['Fantasy', 'Action', 'Adventure']",Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",2007.0,5.9,3576,5.9652497404843015
38757,Tangled,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['Animation', 'Family']",Byron Howard,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",2010.0,7.4,3330,6.934805393328341
99861,Avengers: Age of Ultron,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['Action', 'Adventure', 'Science Fiction']",Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",2015.0,7.3,6767,7.04196762438448
767,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['Adventure', 'Fantasy', 'Family']",David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",2009.0,7.4,5293,7.0628555676134
209112,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['Action', 'Adventure', 'Fantasy']",Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",2016.0,5.7,7004,5.781535351813784
