display_title,vote_average,vote_count,weighted_rating,popularity
The Shawshank Redemption,8.5,8205,8.059257641324471,136.747729
Fight Club,8.3,9413,7.939256287651155,146.757391
The Dark Knight,8.2,12002,7.92002024470956,187.322927
Pulp Fiction,8.3,8428,7.90464507469787,121.463076
Inception,8.1,13752,7.863239441892331,167.58371
The Godfather,8.4,5893,7.851236282546266,143.659698
Interstellar,8.1,10867,7.809478504799392,724.247784
Forrest Gump,8.2,7927,7.803187600597845,138.133331
The Lord of the Rings: The Return of the King,8.1,8064,7.727242708321032,123.630332
The Empire Strikes Back,8.2,5879,7.697883768481379,78.51783
The Lord of the Rings: The Fellowship of the Ring,8.0,8705,7.667341483286055,138.049577
Star Wars,8.1,6624,7.66381265301548,126.393695
Schindler's List,8.3,4329,7.641882834724227,104.469351
Whiplash,8.3,4254,7.633781136313802,192.528841
The Lord of the Rings: The Two Towers,8.0,7487,7.6238926153171125,106.914973
Se7en,8.1,5765,7.614534049882709,79.579532
Guardians of the Galaxy,7.9,9742,7.613005439784308,481.098624
The Matrix,7.9,8907,7.590703761132969,104.309993
千と千尋の神隠し,8.3,3840,7.5852085437584895,118.968562
Inside Out,8.0,6560,7.5823785714991185,128.655964
Back to the Future,8.0,6079,7.557007122903756,76.603233
The Green Mile,8.2,4048,7.5416975052456845,103.698022
Django Unchained,7.8,10099,7.536988640313485,82.121691
The Imitation Game,8.0,5723,7.536150474102442,145.364591
The Godfather: Part II,8.3,3338,7.515889072497915,105.792936
The Lion King,8.0,5376,7.513840124595004,90.457886
The Silence of the Lambs,8.1,4443,7.512361606469609,18.174804
The Wolf of Wall Street,7.9,6571,7.5047860959019905,95.007934
Inglourious Basterds,7.9,6430,7.498046562198031,72.595961
Memento,8.1,4028,7.470790978262341,60.715151
Gone Girl,7.9,5862,7.4683975111524346,143.041543
The Grand Budapest Hotel,8.0,4519,7.448304054311228,74.417456
Gladiator,7.9,5439,7.443310549767527,95.301296
The Shining,8.1,3757,7.44031672353687,78.699993
The Prestige,8.0,4391,7.436967957568658,74.440708
GoodFellas,8.2,3128,7.419750361404276,63.654244
Saving Private Ryan,7.9,5048,7.417380372165167,76.041867
Shutter Island,7.8,6336,7.415914097044211,81.914696
WALL·E,7.8,6296,7.4140253976787704,66.390712
Big Hero 6,7.8,6135,7.406231744911606,203.73459
American History X,8.2,3016,7.401748556954145,73.567232
Return of the Jedi,7.9,4665,7.388957805898176,46.509071
One Flew Over the Cuckoo's Nest,8.2,2919,7.385472778172573,127.525581
The Usual Suspects,8.1,3254,7.375156742376522,64.025031
Alien,7.9,4470,7.373160895770434,94.184658
Reservoir Dogs,8.0,3697,7.36637789407779,66.925866
The Departed,7.9,4339,7.3619885704144465,63.429157
Up,7.7,6870,7.360576936621906,92.201962
The Dark Knight Rises,7.6,9106,7.346720532407277,112.31295
Her,7.9,4097,7.340052598793376,53.682367
